Date,Temp
1984.2500,0.06
1984.3333,0.33
1984.4167,0.02
1984.5000,0.19
1984.5833,0.19
1984.6667,0.21
1984.7500,0.14
1984.8333,0.07
1984.9167,-0.04
1985.0000,0.22
1985.0833,-0.04
1985.1667,0.17
1985.2500,0.12
1985.3333,0.14
1985.4167,0.15
1985.5000,0.04
1985.5833,0.17
1985.6667,0.13
1985.7500,0.11
1985.8333,0.05
1985.9167,0.14
1986.0000,0.26
1986.0833,0.37
1986.1667,0.30
1986.2500,0.22
1986.3333,0.21
1986.4167,0.12
1986.5000,0.11
1986.5833,0.16
1986.6667,0.03
1986.7500,0.15
1986.8333,0.10
1986.9167,0.13
1987.0000,0.32
1987.0833,0.43
1987.1667,0.18
1987.2500,0.24
1987.3333,0.26
1987.4167,0.35
1987.5000,0.40
1987.5833,0.25
1987.6667,0.35
1987.7500,0.32
1987.8333,0.29
1987.9167,0.46
1988.0000,0.57
1988.0833,0.44
1988.1667,0.51
1988.2500,0.43
1988.3333,0.44
1988.4167,0.40
1988.5000,0.33
1988.5833,0.39
